Date,Timestamp, Ticker,  Message ,  Price , % of Vol , Block Type , Value , SecurityType, Industry, Sector,  30DayAverage , Float, EarningsDate
11/15/2019,12:00:24 PM,EWT," 153,336 ", $39.79 ,4%,DARK ISO,$6.1M,ETF/Fund,ETFs,Miscellaneous," 3,708,695 ",80,N/A
11/15/2019,11:19:37 AM,EWU," 190,000 ", $32.59 ,6%,DARK BLOCK,$6.1M,ETF/Fund,ETFs,Miscellaneous," 3,239,463 ",74,N/A
11/15/2019,10:11:00 AM,EWY," 161,080 ", $61.48 ,5%,DARK ISOAA,$9.9M,ETF/Fund,ETFs,Miscellaneous," 3,209,148 ",72,N/A
11/15/2019,12:09:44 PM,EWY," 152,720 ", $61.62 ,5%,DARK ISOAA,$9.4M,ETF/Fund,ETFs,Miscellaneous," 3,209,148 ",72,N/A
11/15/2019,1:09:30 PM,EWZ," 1,050,000 ", $43.12 ,4%,BLOCK,$45.0M,ETF/Fund,ETFs,Miscellaneous," 25,825,717 ",206,N/A
11/15/2019,11:22:38 AM,EWZ," 714,800 ", $43.03 ,3%,DARK BLOCK,$30.0M,ETF/Fund,ETFs,Miscellaneous," 25,825,717 ",206,N/A
11/15/2019,9:47:55 AM,EWZ," 460,366 ", $43.03 ,2%,DARK AVGPRC,$19.0M,ETF/Fund,ETFs,Miscellaneous," 25,825,717 ",206,N/A
11/15/2019,9:34:23 AM,EWZ," 283,953 ", $42.92 ,1%,DARK ISOBB,$12.0M,ETF/Fund,ETFs,Miscellaneous," 25,825,717 ",206,N/A
11/15/2019,9:54:06 AM,EWZ," 275,000 ", $42.93 ,1%,BLOCK,$11.0M,ETF/Fund,ETFs,Miscellaneous," 25,825,717 ",206,N/A
11/15/2019,12:51:03 PM,EWZ," 250,000 ", $43.11 ,1%,BLOCK,$10.0M,ETF/Fund,ETFs,Miscellaneous," 25,825,717 ",206,N/A
11/15/2019,4:18:58 PM,EWZ," 210,000 ", $43.11 ,1%,DARK AVGPRC,$9.0M,ETF/Fund,ETFs,Miscellaneous," 25,825,717 ",206,N/A
11/15/2019,3:03:13 PM,EWZ," 120,000 ", $43.09 ,0%,BLOCK,$5.1M,ETF/Fund,ETFs,Miscellaneous," 25,825,717 ",206,N/A
11/15/2019,10:50:11 AM,EZU," 571,499 ", $40.96 ,12%,DARK ISO,$23.0M,ETF/Fund,ETFs,Miscellaneous," 4,945,989 ",151,N/A
11/15/2019,4:26:59 PM,FEZ," 348,300 ", $39.92 ,15%,DARK BLOCK,$13.0M,ETF/Fund,ETFs,Miscellaneous," 2,263,593 ",54,N/A
11/15/2019,2:01:31 PM,FLOT," 299,384 ", $50.95 ,26%,DARK BLOCK,$15.0M,ETF/Fund,ETFs,Miscellaneous," 1,159,795 ",195,N/A
11/15/2019,11:30:13 AM,FLRN," 573,721 ", $30.75 ,53%,DARK ISOAADay,$17.0M,ETF/Fund,ETFs,Miscellaneous," 1,092,109 ",118,N/A
11/15/2019,4:10:32 PM,FLRN," 304,743 ", $30.75 ,28%,DARK BLOCK,$9.3M,ETF/Fund,ETFs,Miscellaneous," 1,092,109 ",118,N/A
11/15/2019,10:45:40 AM,FLTR," 260,939 ", $25.32 ,261%,DARK ISOAADay,$6.6M,ETF/Fund,ETFs,Miscellaneous," 99,797 ",19,N/A
11/15/2019,1:35:26 PM,FNDX," 120,700 ", $41.65 ,32%,DARK BLOCK,$5.0M,ETF/Fund,,," 374,546 ",140,N/A
11/15/2019,3:08:18 PM,FTVA," 230,665 ", $27.59 ,586%,DARK ISOBB,$6.3M,ETF/Fund,,," 39,330 ",2,N/A
